"id","staff_id","position_id","grade_id","join_date","sg_experience","prev_experience","total_experience","japanese_level_id","major_tech_stack_id","created_at","updated_at","deleted_at"
1,1,1,1,2020/01/15,3,5,8,2,1,2025/08/18 17:12:09,2025/08/18 17:12:09,
2,2,2,1,2021/03/10,2,4,6,1,2,2025/08/18 17:12:09,2025/08/18 17:12:09,
3,3,3,2,2019/11/20,5,7,12,3,3,2025/08/18 17:12:09,2025/08/18 17:12:09,
4,4,1,1,2022/06/12,1,3,4,4,1,2025/08/18 17:12:09,2025/08/18 17:12:09,
5,5,1,1,2023/08/20,1,4,5,1,2,2025/08/18 17:12:09,2025/08/18 17:12:09,
6,6,2,2,2022/01/13,1,5,6,4,5,2025/08/18 17:12:09,2025/08/18 17:12:09,
7,7,3,1,2021/05/19,1,3,4,1,5,2025/08/18 17:12:09,2025/08/18 17:12:09,
8,8,2,1,2023/03/06,1,2,3,5,2,2025/08/18 17:12:09,2025/08/18 17:12:09,
9,9,1,2,2020/07/22,4,6,10,2,2,2025/08/18 17:12:09,2025/08/18 17:12:09,
10,10,2,2,2021/12/05,3,5,8,3,1,2025/08/18 17:12:09,2025/08/18 17:12:09,
11,11,3,1,2020/10/15,2,3,5,1,8,2025/08/18 17:12:09,2025/08/18 17:12:09,
12,12,1,1,2022/08/20,3,4,7,2,2,2025/08/18 17:12:09,2025/08/18 17:12:09,
13,13,2,2,2019/04/11,1,2,3,1,1,2025/08/18 17:12:09,2025/08/18 17:12:09,
14,14,1,1,2021/01/08,4,5,9,3,8,2025/08/18 17:12:09,2025/08/18 17:12:09,
15,15,3,2,2022/09/25,2,3,5,2,1,2025/08/18 17:12:09,2025/08/18 17:12:09,
16,16,2,1,2020/05/20,3,6,9,1,8,2025/08/18 17:12:09,2025/08/18 17:12:09,
17,17,1,2,2021/07/15,2,4,6,5,8,2025/08/18 17:12:09,2025/08/18 17:12:09,
18,18,3,1,2023/02/28,1,2,3,2,3,2025/08/18 17:12:09,2025/08/18 17:12:09,
19,19,2,2,2019/12/12,4,7,11,1,2,2025/08/18 17:12:09,2025/08/18 17:12:09,
20,20,1,1,2022/03/10,3,5,8,3,3,2025/08/18 17:12:09,2025/08/18 17:12:09,
